"","X.2","X.1","Edad","nivel_de_educaccion","ORG_BASE","Acceso_a_internet","miembros_familia","informacion_telefono_confianza","Tipo_de_Celular","informacion_telefono","Clima","finaca_uso_cafe","Finaca_hectares","ALTITUD_m_s_n_m","EDAD_DE_CULTIVO","Distanciamiento_entre_plantas","Distanciamiento_entre_filas","alimentos_procedencia","tierra_tenencia","empezar_cultivar_cafe","cafe_suelo_calidad","cafe_tierra","numeroplantasproduccionhectarea","capacitacion_cafe","cafe_pracitcas","num_cafe_pracitcas","distinct_cafe_pracitcas","num_aplic_fertilizers","enfermedades","num_enfermedades","distinct_enfermedades","num_fungal_enfermedades","num_pest_enfermedades","num_other_enfermedades","variedades","num_variedades","distinct_variedades","arbol_bajosombra","num_arbolessombra","distinct_arbolessombra","floracion_normal","floracion","plantas_etapa","X_GPS_longitude","X_GPS_altitude.y","yoloV8_aver","RealCherriesBranch.x","ID","Climate","FarmUseCoffee","FarmArea","Altitude","SoilQuality","CoffeeLand","TypesShadeTrees","DistinctShadeTrees","AltitudeGPS","RealCherriesBranch.y","RH2M_avg","T2M","PR","clase_ufh","distri_adt","profundi","simb_final","p_idh","p_textura","p_profundi","s_uc_fase","municipio","p_humedad","taxonomia","p_temp","p_co","co","p_sat_alum","perfil","pedrego","humedad","unidad_cli","drenaje","vlr_pote_f","sim_clim_f","n_rang_ufh","p_inund","rango_pend","uc_suelo","pendiente","etp_ppt","rango_idh","salinidad","perd_sue","sb","s_uc","ce","sat_alum","p_ph","p_cic","limitante","ph","p_sb","area_ha","p_drenaje","alt_msnm","p_pend","sue_no_sue","inund","cod_depart","temp_med","p_perd_sue","cic","p_salini","departamen","p_sodio","textura","cod_dane_m","p_pedrego","vlr_pote","consecutiv","geometry","X","X_GPS_latitude","X_GPS_altitude","production_farm_yolo","production_farm_real"
"67",64,64,"4655","secundaria_completa","caficauca","yes",3,"seguro","smart_phone","informacion de mercado","templado",0.8,1.4,1670,4,1.2,1.3,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",6410.25641,"semanal","poda control_de_la_erosion_del_suelo eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",6,6,3,"mancha_de_hierro",1,1,1,0,0,"castillo",1,1,"guamo",1,1,"se da en diferentes tiempos","diferentes_momentos","color_verde_intenso",-76.852558,1696.8,15.04,11.73439575,25,"templado",3,3,1658,"buen_suelo_para_el_cafe","inclinado",1,1,0,16.18518519,86.75,18.58,1.28,"6",0,"Profundo","06Qd2s1-55",10,6,10,"AQ6d2","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",53,"Q",55,0,"45992","AQCd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,2664.321523,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19548,0,70,101391,"c(-76.5704773"," 2.7306046)",2.4824904,1696.8,420.666666666667,327.259259259259
"68",65,65,"4655","secundaria_completa","caficauca","yes",3,"seguro","smart_phone","informacion de mercado","templado",0.8,1.4,1670,4,1.2,1.3,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",6410.25641,"semanal","poda control_de_la_erosion_del_suelo eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",6,6,3,"mancha_de_hierro",1,1,1,0,0,"castillo",1,1,"guamo",1,1,"se da en diferentes tiempos","diferentes_momentos","color_verde_intenso",-76.852558,1696.8,15.04,11.73439575,44,"templado",0.8,1.4,1670,"buen_suelo_para_el_cafe","inclinado",1,1,1696.8,11.73439575,86.75,18.58,1.28,"ZU",0,"No aplica","ZU",5,0,0,"ZU","El Tambo",0,"Zonas urbanas",0,0,0,0,"No aplica","No aplica","No aplica","Templado muy húmedo","No aplica",0,"P",0,0,"ZU","ZU","Zonas urbanas","0.25 - 0.5","0,6 - 0,77","No aplica","ZU",0,"ZU",0,0,0,0,"No aplica",0,0,2.51371362,0,"1000-2000",10,"ZU","No aplica",19,"18-24",0,0,0,"Cauca",0,"No aplica",19256,0,0,48933,"c(-76.852558"," 2.4824904)",2.4824904,1696.8,420.666666666667,327.259259259259
"69",66,66,"4655","secundaria_completa","caficauca","yes",3,"seguro","smart_phone","informacion de mercado","templado",0.8,1.4,1670,4,1.2,1.3,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",6410.25641,"semanal","poda control_de_la_erosion_del_suelo eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",6,6,3,"mancha_de_hierro",1,1,1,0,0,"castillo",1,1,"guamo",1,1,"se da en diferentes tiempos","diferentes_momentos","color_verde_intenso",-76.852558,1696.8,15.04,11.73439575,59,"templado",0.87,1.6,1750,"buen_suelo_para_el_cafe","inclinado",2,2,1750,15.37325349,86.75,18.58,1.28,"6",0,"Profundo","06Qd2s1-55",10,6,10,"AQ6d2","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",53,"Q",55,0,"45992","AQCd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,2664.321523,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19548,0,70,101391,"c(-76.5916324"," 2.7069991)",2.4824904,1696.8,420.666666666667,327.259259259259
"70",67,67,"5665","educacion_tecnica","federacion","yes",3,"poco_seguro","smart_phone","recomendaciones agricolas","templado",1.9,13,1810,2,1.2,1.3,"comprado__mercado","dueno","he_empezado_recientemente","buen_suelo_para_el_cafe","inclinado",6410.25641,"semestral","poda eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",5,5,2,"antracnosis antracnosis mancha_de_hierro",3,2,1,2,0,"castillo",1,1,"platano nacedero aguacate",3,3,"florece todo el tiempo","florece todo el tiempo","varias_etapas",-76.6371535,1797.130127,7.63,14.06732348,45,"templado",1.9,13,1810,"buen_suelo_para_el_cafe","inclinado",3,3,1797.130127,14.06732348,86.75,18.58,1.28,"7",0,"Moderadamente Profundo","07Qe-49",10,8,8,"AQ5e","Cajibío",15,"TYPIC HAPLUDANDS",0,8,2.6,-1,"CC-04","No pedregoso","Udico","Templado húmedo","Bien",49,"Q",49,0,"25-50","AQAe","e","0.5 - 1","0,77 - 0,99","No salino","Baja",4.5,"AQ5",0,24.4,4,5,"Sin limitante",5.2,0,731.1098396,10,"1000-2000",10,"Suelo","No hay",19,"18-24",0,28.1,0,"Cauca",0,"Franco arcillosa",19130,0,77,19008,"c(-76.6371535"," 2.5969635)",2.5969635,1797.13012695312,164.185185185185,317.296296296296
"71",68,68,"5665","primaria_completa","AMUCC","yes",5,"nada_seguro","smart_phone","no uso mi telefono para esto","templado",3.8,4.5,1700,2,1.5,1.5,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",4444.444444,"semestral","control_de_la_erosion_del_suelo eliminacion_de_chupones deshierbe ferti_plag_enfere control_de_plagas_y_enfermedades",5,5,5,"antracnosis",1,1,0,1,0,"castillo",1,1,"guamo aguacate",2,2,"diferentes momentos","diferentes_momentos","color_verde_intenso",-76.5892401,1688.4,11.41,14.51851852,46,"templado",3.8,4.5,1700,"buen_suelo_para_el_cafe","inclinado",2,2,1688.4,14.51851852,86.75,18.58,1.28,"6",0,"Profundo","06Qd2s1-55",10,6,10,"AQ6d2","Morales",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",53,"Q",55,0,"45992","AQCd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,3488.876298,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19473,0,70,87205,"c(-76.5892401"," 2.729568)",2.729568,1688.4,34.2222222222222,43.5555555555556
"72",69,69,"2635","secundaria_completa","ninguna","yes",5,"seguro","smart_phone","no uso mi telefono para esto","templado",0.18,1,1800,6,1.3,1.4,"comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","plano__recto",5494.505495,"nunca","control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",3,3,2,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"guamo",1,1,"floreció en tiempo diferente al normal","retrasada","color_verde_intenso",34.6133996,142.5999908,10.26,19.69979296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8516786,142.599990844727,203.333333333333,352.407407407407
"73",70,70,"2635","secundaria_incompleta","ninguna","yes",4,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",1.5,3.8,1800,4,1.4,1.4,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",5102.040816,"mensual","control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",3,3,1,"roya_amarilla",1,1,1,0,0,"supremo",1,1,"platano guamo",2,2,"por el cambio de mes que ocurrió la floración","retrasada","color_verde_intenso",-76.5778602,1815.6,8.81,8.735159817,47,"templado",1.5,3.8,1800,"buen_suelo_para_el_cafe","inclinado",2,2,1815.6,8.735159817,86.75,18.58,1.28,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5778602"," 2.586565)",2.586565,1815.6,149.777777777778,141.703703703704
"74",71,71,"5665","primaria_incompleta","caficauca","no",2,"poco_seguro","no_cellphone","no uso mi telefono para esto","templado",0.18,1,1540,3,1.4,1.5,"producido_en_la_finaca comprado__mercado","se_alquila_todo_el_terreno","10+","buen_suelo_para_el_cafe","con_pendientes_pronunciadas",4761.904762,"semestral","deshierbe eliminacion_de_chupones",2,2,2,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"guamo",1,1,"por que la floracion es muy poco","poca","cabeza_de_alfiler",-76.5749435,1621,16.81,19.40740741,48,"templado",0.18,1,1540,"buen_suelo_para_el_cafe","con_pendientes_pronunciadas",1,1,1621,19.40740741,86.65,20.7,2.37,"6",0,"Profundo","06Qd2s1-55",10,6,10,"AQ6d2","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",53,"Q",55,0,"45992","AQCd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,2664.321523,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19548,0,70,101391,"c(-76.5749435"," 2.7666687)",2.7666687,1621,16.8148148148148,19.4074074074074
"75",72,72,"5665","primaria_incompleta","caficauca","no",2,"poco_seguro","no_cellphone","no uso mi telefono para esto","templado",0.18,1,1540,3,1.4,1.5,"producido_en_la_finaca comprado__mercado","se_alquila_todo_el_terreno","10+","buen_suelo_para_el_cafe","con_pendientes_pronunciadas",4761.904762,"semestral","deshierbe eliminacion_de_chupones",2,2,2,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"guamo",1,1,"por que la floracion es muy poco","poca","cabeza_de_alfiler",-76.5749435,1621,16.81,19.40740741,50,"templado",0.18,1,1692,"buen_suelo_para_el_cafe","inclinado",1,1,1692,19.62962963,83.82,15.73,0.6,"6",0,"Profundo","06Qd-55",10,6,10,"AQ6d","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",55,"Q",55,0,"45992","AQCd","d","0.5 - 1","0,77 - 0,99","No salino","Baja",8,"AQ6",0,0,4,5,"Sin limitante",5.1,0,1259.008687,10,"1000-2000",10,"Suelo","No hay",19,"18-24",0,54.9,0,"Cauca",0,"Franco arenosa",19548,0,73,101384,"c(-76.5575088"," 2.7318658)",2.7666687,1621,16.8148148148148,19.4074074074074
"76",73,73,"3645","primaria_completa","ninguna","yes",6,"nada_seguro","smart_phone","no uso mi telefono para esto","templado",1.3,3.8,1812,3,1.2,1.2,"producido_en_la_finaca comprado__mercado","dueno","10+","no_se","plano__recto",6944.444444,"anual","poda eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",5,5,2,"antracnosis",1,1,0,1,0,"supremo",1,1,"platano guayabo",2,2,"normal","normal","color_verde_intenso",-76.5765548,1813.7,16.37,18.10328638,49,"templado",1.3,3.8,1812,"no_se","plano__recto",2,2,1813.7,18.10328638,86.75,18.58,1.28,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5765548"," 2.5872023)",2.5872023,1813.7,285.148148148148,285.62962962963
"77",74,74,"65__years","primaria_completa","caficauca","no",2,"seguro","smart_phone","no uso mi telefono para esto","templado",0.18,1,1692,3,1.4,1.5,"comprado__mercado producido_en_la_finaca","dueno","10+","buen_suelo_para_el_cafe","inclinado",4761.904762,"semestral","eliminacion_de_chupones deshierbe",2,2,5,"antracnosis",1,1,0,1,0,"castillo",1,1,"mango",1,1,"por el invierno","clima_afecta","floreciendo",-76.5575088,1692,16.81,19.62962963,48,"templado",0.18,1,1540,"buen_suelo_para_el_cafe","con_pendientes_pronunciadas",1,1,1621,19.40740741,86.65,20.7,2.37,"6",0,"Profundo","06Qd2s1-55",10,6,10,"AQ6d2","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",53,"Q",55,0,"45992","AQCd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,2664.321523,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19548,0,70,101391,"c(-76.5749435"," 2.7666687)",2.7318658,1692,16.8148148148148,19.6296296296296
"78",75,75,"65__years","primaria_completa","caficauca","no",2,"seguro","smart_phone","no uso mi telefono para esto","templado",0.18,1,1692,3,1.4,1.5,"comprado__mercado producido_en_la_finaca","dueno","10+","buen_suelo_para_el_cafe","inclinado",4761.904762,"semestral","eliminacion_de_chupones deshierbe",2,2,5,"antracnosis",1,1,0,1,0,"castillo",1,1,"mango",1,1,"por el invierno","clima_afecta","floreciendo",-76.5575088,1692,16.81,19.62962963,50,"templado",0.18,1,1692,"buen_suelo_para_el_cafe","inclinado",1,1,1692,19.62962963,83.82,15.73,0.6,"6",0,"Profundo","06Qd-55",10,6,10,"AQ6d","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",55,"Q",55,0,"45992","AQCd","d","0.5 - 1","0,77 - 0,99","No salino","Baja",8,"AQ6",0,0,4,5,"Sin limitante",5.1,0,1259.008687,10,"1000-2000",10,"Suelo","No hay",19,"18-24",0,54.9,0,"Cauca",0,"Franco arenosa",19548,0,73,101384,"c(-76.5575088"," 2.7318658)",2.7318658,1692,16.8148148148148,19.6296296296296
"79",76,76,"5665","primaria_incompleta","ninguna","yes",3,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",1.5,3.8,1815,4,1.4,1.4,"producido_en_la_finaca comprado__mercado","no_soy_dueno","10+","suelo_pobre_para_el_cafe","inclinado",5102.040816,"semestral","eliminacion_de_chupones deshierbe ferti_plag_enfere",3,3,2,"mancha_de_hierro",1,1,1,0,0,"castillo",1,1,"guamo llarumo",2,2,"normal","normal","color_verde_intenso",-76.5750743,1814,14.63,17.29320988,51,"templado",1.5,3.8,1815,"suelo_pobre_para_el_cafe","inclinado",2,2,1814,17.29320988,86.75,18.58,1.28,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5750743"," 2.5897731)",2.5897731,1814,175.62962962963,207.518518518519
"80",77,77,"5665","primaria_incompleta","ninguna","yes",3,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",1.5,3.8,1815,4,1.4,1.4,"producido_en_la_finaca comprado__mercado","no_soy_dueno","10+","suelo_pobre_para_el_cafe","inclinado",5102.040816,"semestral","eliminacion_de_chupones deshierbe ferti_plag_enfere",3,3,2,"mancha_de_hierro",1,1,1,0,0,"castillo",1,1,"guamo llarumo",2,2,"normal","normal","color_verde_intenso",-76.5750743,1814,14.63,17.29320988,55,"templado",0.48,1,1816,"buen_suelo_para_el_cafe","inclinado",1,1,1816,15.23129252,86.75,18.58,1.28,"4",0,"Profundo","04Qc-67",10,6,10,"AQ6c","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",64,"Q",67,0,"45998","AQCc","c","0.5 - 1","0,77 - 0,99","No salino","Baja",8,"AQ6",0,0,4,5,"Sin limitante",5.1,0,3466.779513,10,"1000-2000",10,"Suelo","No hay",19,"18-24",0,54.9,0,"Cauca",0,"Franco arenosa",19548,0,73,101382,"c(-76.5872884"," 2.6754792)",2.5897731,1814,175.62962962963,207.518518518519
"81",78,78,"5665","secundaria_incompleta","ninguna","yes",5,"nada_seguro","smart_phone","no uso mi telefono para esto","templado",0.18,1.8,1591,2,1.3,1.4,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","plano__recto",5494.505495,"semestral","eliminacion_de_chupones deshierbe control_de_plagas_y_enfermedades ferti_plag_enfere",4,4,2,"antracnosis",1,1,0,1,0,"castillo",1,1,"platano aguacate guamo",3,3,"floracion en diferentes momentos, por mucha lluvia","clima_afecta","color_verde_intenso",-76.5762549,16,17.81,24.2327044,52,"templado",0.18,1.8,1591,"buen_suelo_para_el_cafe","plano__recto",3,3,16,24.2327044,86.65,20.7,2.37,"10",0,"Moderadamente Profundo","10Qf3s2-30",10,8,8,"AQ5f3","Piendamó",15,"TYPIC HAPLUDANDS",0,8,2.6,-1,"CC-04","No pedregoso","Udico","Templado húmedo","Bien",27,"Q",30,0,"50-75","AQAf3","f","0.5 - 1","0,77 - 0,99","No salino","Fuerte",4.5,"AQ5",0,24.4,4,5,"3s2",5.2,0,1961.505766,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-15,28.1,0,"Cauca",0,"Franco arcillosa",19548,0,62,101378,"c(-76.5762549"," 2.7830215)",2.7830215,16,253.222222222222,285.407407407407
"82",79,79,"2635","secundaria_incompleta","ninguna","yes",7,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",0.85,1.15,1839,3,1.2,1.4,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",5952.380952,"semestral","control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",3,3,4,"antracnosis ojo_de_gallo",2,2,1,1,0,"castillo",1,1,"citricos guamo aguacate",3,3,"exceso de lluvia, no florece de una sola","clima_afecta","floreciendo",-76.5494635,1888,15,14.01930502,53,"templado",0.85,1.15,1839,"buen_suelo_para_el_cafe","inclinado",3,3,1888,14.01930502,83.82,15.73,0.6,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5494635"," 2.6222551)",2.6222551,1888,444.777777777778,403.444444444444
"83",80,80,"1825","primaria_completa","ninguna","no",7,"nada_seguro","smart_phone","no uso mi telefono para esto","templado",1.18,1.8,1729,2,1.4,1.5,"producido_en_la_finaca comprado__mercado","dueno","5+","buen_suelo_para_el_cafe","inclinado",4761.904762,"semestral","deshierbe ferti_plag_enfere",2,2,3,"antracnosis",1,1,0,1,0,"castillo",1,1,"platano",1,1,"por exceso de lluvia, no es uniforme la floracion","clima_afecta","color_verde_intenso",-76.5986823,1769,16.7,21.75601375,54,"templado",1.18,1.8,1729,"buen_suelo_para_el_cafe","inclinado",1,1,1769,21.75601375,86.75,18.58,1.28,"6",0,"Profundo","06Qd2s1-55",10,6,10,"AQ6d2","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",53,"Q",55,0,"45992","AQCd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,2664.321523,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19548,0,70,101391,"c(-76.5986823"," 2.7101014)",2.7101014,1769,583.037037037037,703.444444444444
"84",81,81,"3645","primaria_completa","ninguna","yes",5,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",0.48,1,1816,3,1.4,1.5,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",4761.904762,"semestral","control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere eliminacion_de_chupones",4,4,3,"antracnosis ojo_de_gallo",2,2,1,1,0,"castillo",1,1,"guamo",1,1,"no florecio una sola vez","no_florecio","cabeza_de_alfiler",-76.5872884,1816,14.63,15.23129252,51,"templado",1.5,3.8,1815,"suelo_pobre_para_el_cafe","inclinado",2,2,1814,17.29320988,86.75,18.58,1.28,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5750743"," 2.5897731)",2.6754792,1816,245.888888888889,248.777777777778
"85",82,82,"3645","primaria_completa","ninguna","yes",5,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",0.48,1,1816,3,1.4,1.5,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",4761.904762,"semestral","control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere eliminacion_de_chupones",4,4,3,"antracnosis ojo_de_gallo",2,2,1,1,0,"castillo",1,1,"guamo",1,1,"no florecio una sola vez","no_florecio","cabeza_de_alfiler",-76.5872884,1816,14.63,15.23129252,55,"templado",0.48,1,1816,"buen_suelo_para_el_cafe","inclinado",1,1,1816,15.23129252,86.75,18.58,1.28,"4",0,"Profundo","04Qc-67",10,6,10,"AQ6c","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",64,"Q",67,0,"45998","AQCc","c","0.5 - 1","0,77 - 0,99","No salino","Baja",8,"AQ6",0,0,4,5,"Sin limitante",5.1,0,3466.779513,10,"1000-2000",10,"Suelo","No hay",19,"18-24",0,54.9,0,"Cauca",0,"Franco arenosa",19548,0,73,101382,"c(-76.5872884"," 2.6754792)",2.6754792,1816,245.888888888889,248.777777777778
"86",83,83,"5665","primaria_incompleta","ninguna","no",5,"nada_seguro","non_internet_capable_phone","no uso mi telefono para esto","templado",1.2,2,1667,3,1.3,1.5,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",5128.205128,"semestral","deshierbe ferti_plag_enfere",2,2,1,"antracnosis",1,1,0,1,0,"castillo",1,1,"platano",1,1,"en diferentes momentos, por ecxeso de lluvia","en clima_afecta","color_verde_intenso",-76.5865892,1667,32.04,32.3652968,56,"templado",1.2,2,1667,"buen_suelo_para_el_cafe","inclinado",1,1,1667,32.3652968,86.65,20.7,2.37,"6",0,"Profundo","06Qd2s1-55",10,6,10,"AQ6d2","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",53,"Q",55,0,"45992","AQCd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,2664.321523,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19548,0,70,101391,"c(-76.5865892"," 2.7778255)",2.7778255,1667,820.592592592593,787.555555555556
"87",84,84,"1825","secundaria_completa","ninguna","no",3,"nada_seguro","non_internet_capable_phone","no uso mi telefono para esto","templado",0.8,1,1756,4,1.6,1.7,"producido_en_la_finaca comprado__mercado","dueno","5+","buen_suelo_para_el_cafe","inclinado",3676.470588,"semestral","control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",3,3,2,"antracnosis",1,1,0,1,0,"supremo",1,1,"guamo",1,1,"florecio en diferentes momentos, por ecxeso de lluvia","clima_afecta","floreciendo",-76.5890684,1767,15.22,12.96627756,57,"templado",0.8,1,1756,"buen_suelo_para_el_cafe","inclinado",1,1,1767,12.96627756,86.75,18.58,1.28,"4",0,"Profundo","04Qc-67",10,6,10,"AQ6c","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",64,"Q",67,0,"45998","AQCc","c","0.5 - 1","0,77 - 0,99","No salino","Baja",8,"AQ6",0,0,4,5,"Sin limitante",5.1,0,3466.779513,10,"1000-2000",10,"Suelo","No hay",19,"18-24",0,54.9,0,"Cauca",0,"Franco arenosa",19548,0,73,101382,"c(-76.5890684"," 2.6797973)",2.6797973,1767,446.666666666667,370.259259259259
